cell_id,cell,cell_type,batch,cluster_id,batch_id,n_genes
cell_421,DoubleNeg_P14_S86,DoubleNeg,Batch2,1,1,4623
cell_422,DoubleNeg_P14_S87,DoubleNeg,Batch2,1,1,5044
cell_423,DoubleNeg_P14_S88,DoubleNeg,Batch2,1,1,4120
cell_424,DoubleNeg_P14_S89,DoubleNeg,Batch2,1,1,3768
cell_425,DoubleNeg_P14_S90,DoubleNeg,Batch2,1,1,4279
cell_426,DoubleNeg_P14_S91,DoubleNeg,Batch2,1,1,3632
cell_427,DoubleNeg_P14_S92,DoubleNeg,Batch2,1,1,4311
cell_428,DoubleNeg_P14_S93,DoubleNeg,Batch2,1,1,4840
cell_429,DoubleNeg_P14_S94,DoubleNeg,Batch2,1,1,4584
cell_430,DoubleNeg_P14_S95,DoubleNeg,Batch2,1,1,5103
cell_432,DoubleNeg_P3_S10,DoubleNeg,Batch2,1,1,4045
cell_434,DoubleNeg_P3_S12,DoubleNeg,Batch2,1,1,3576
cell_435,DoubleNeg_P3_S13,DoubleNeg,Batch2,1,1,4496
cell_436,DoubleNeg_P3_S14,DoubleNeg,Batch2,1,1,4409
cell_437,DoubleNeg_P3_S15,DoubleNeg,Batch2,1,1,4122
cell_438,DoubleNeg_P3_S16,DoubleNeg,Batch2,1,1,4028
cell_439,DoubleNeg_P3_S17,DoubleNeg,Batch2,1,1,4258
cell_440,DoubleNeg_P3_S18,DoubleNeg,Batch2,1,1,3580
cell_441,DoubleNeg_P3_S19,DoubleNeg,Batch2,1,1,3818
cell_442,DoubleNeg_P3_S1,DoubleNeg,Batch2,1,1,3946
cell_443,DoubleNeg_P3_S20,DoubleNeg,Batch2,1,1,4533
cell_444,DoubleNeg_P3_S21,DoubleNeg,Batch2,1,1,4646
cell_445,DoubleNeg_P3_S22,DoubleNeg,Batch2,1,1,4202
cell_446,DoubleNeg_P3_S23,DoubleNeg,Batch2,1,1,4193
cell_447,DoubleNeg_P3_S24,DoubleNeg,Batch2,1,1,4245
cell_448,DoubleNeg_P3_S2,DoubleNeg,Batch2,1,1,3332
cell_449,DoubleNeg_P3_S3,DoubleNeg,Batch2,1,1,3848
cell_450,DoubleNeg_P3_S4,DoubleNeg,Batch2,1,1,3970
cell_451,DoubleNeg_P3_S5,DoubleNeg,Batch2,1,1,4157
cell_453,DoubleNeg_P3_S7,DoubleNeg,Batch2,1,1,3951
cell_454,DoubleNeg_P3_S8,DoubleNeg,Batch2,1,1,3885
cell_455,DoubleNeg_P3_S9,DoubleNeg,Batch2,1,1,4130
cell_456,DoubleNeg_P4_S25,DoubleNeg,Batch2,1,1,4121
cell_457,DoubleNeg_P4_S26,DoubleNeg,Batch2,1,1,4208
cell_458,DoubleNeg_P4_S27,DoubleNeg,Batch2,1,1,3448
cell_459,DoubleNeg_P4_S28,DoubleNeg,Batch2,1,1,4622
cell_460,DoubleNeg_P4_S29,DoubleNeg,Batch2,1,1,3195
cell_461,DoubleNeg_P4_S30,DoubleNeg,Batch2,1,1,3886
cell_462,DoubleNeg_P4_S31,DoubleNeg,Batch2,1,1,4235
cell_463,DoubleNeg_P4_S32,DoubleNeg,Batch2,1,1,4378
cell_464,DoubleNeg_P4_S33,DoubleNeg,Batch2,1,1,3428
cell_465,DoubleNeg_P4_S34,DoubleNeg,Batch2,1,1,4215
cell_466,DoubleNeg_P4_S35,DoubleNeg,Batch2,1,1,3509
cell_467,DoubleNeg_P4_S36,DoubleNeg,Batch2,1,1,3575
cell_468,DoubleNeg_P4_S37,DoubleNeg,Batch2,1,1,4175
cell_469,DoubleNeg_P4_S38,DoubleNeg,Batch2,1,1,4135
cell_470,DoubleNeg_P4_S39,DoubleNeg,Batch2,1,1,4627
cell_471,DoubleNeg_P4_S40,DoubleNeg,Batch2,1,1,4255
cell_472,DoubleNeg_P4_S41,DoubleNeg,Batch2,1,1,4107
cell_473,DoubleNeg_P4_S42,DoubleNeg,Batch2,1,1,3385
cell_474,DoubleNeg_P4_S43,DoubleNeg,Batch2,1,1,4675
cell_475,DoubleNeg_P4_S44,DoubleNeg,Batch2,1,1,4183
cell_476,DoubleNeg_P4_S45,DoubleNeg,Batch2,1,1,4396
cell_477,DoubleNeg_P4_S46,DoubleNeg,Batch2,1,1,4315
cell_478,DoubleNeg_P4_S47,DoubleNeg,Batch2,1,1,3578
cell_479,DoubleNeg_P4_S48,DoubleNeg,Batch2,1,1,4780
cell_480,CD1C_P13_S49,CD1C,Batch2,3,1,4785
cell_481,CD1C_P13_S50,CD1C,Batch2,3,1,5472
cell_482,CD1C_P13_S51,CD1C,Batch2,3,1,4388
cell_483,CD1C_P13_S52,CD1C,Batch2,3,1,4383
cell_484,CD1C_P13_S53,CD1C,Batch2,3,1,4870
cell_485,CD1C_P13_S54,CD1C,Batch2,3,1,4071
cell_486,CD1C_P13_S55,CD1C,Batch2,3,1,3917
cell_487,CD1C_P13_S56,CD1C,Batch2,3,1,4316
cell_488,CD1C_P13_S57,CD1C,Batch2,3,1,5048
cell_489,CD1C_P13_S58,CD1C,Batch2,3,1,5041
cell_490,CD1C_P13_S59,CD1C,Batch2,3,1,5491
cell_491,CD1C_P13_S60,CD1C,Batch2,3,1,5010
cell_492,CD1C_P13_S61,CD1C,Batch2,3,1,10250
cell_493,CD1C_P13_S62,CD1C,Batch2,3,1,4648
cell_494,CD1C_P13_S63,CD1C,Batch2,3,1,5342
cell_495,CD1C_P13_S64,CD1C,Batch2,3,1,4452
cell_496,CD1C_P13_S65,CD1C,Batch2,3,1,4878
cell_497,CD1C_P13_S66,CD1C,Batch2,3,1,4225
cell_498,CD1C_P13_S67,CD1C,Batch2,3,1,4287
cell_499,CD1C_P13_S68,CD1C,Batch2,3,1,4649
cell_500,CD1C_P13_S69,CD1C,Batch2,3,1,5147
cell_501,CD1C_P13_S70,CD1C,Batch2,3,1,3483
cell_502,CD1C_P13_S71,CD1C,Batch2,3,1,5000
cell_503,CD1C_P13_S72,CD1C,Batch2,3,1,4750
cell_504,CD1C_P14_S73,CD1C,Batch2,3,1,4712
cell_505,CD1C_P14_S74,CD1C,Batch2,3,1,3917
cell_506,CD1C_P14_S75,CD1C,Batch2,3,1,4291
cell_507,CD1C_P14_S76,CD1C,Batch2,3,1,4474
cell_508,CD1C_P14_S77,CD1C,Batch2,3,1,4378
cell_509,CD1C_P14_S78,CD1C,Batch2,3,1,3244
cell_510,CD1C_P14_S79,CD1C,Batch2,3,1,4998
cell_511,CD1C_P14_S80,CD1C,Batch2,3,1,4126
cell_512,CD1C_P14_S81,CD1C,Batch2,3,1,4493
cell_513,CD1C_P14_S82,CD1C,Batch2,3,1,4538
cell_514,CD1C_P14_S83,CD1C,Batch2,3,1,4091
cell_515,CD1C_P14_S84,CD1C,Batch2,3,1,4236
cell_516,CD1C_P14_S85,CD1C,Batch2,3,1,9876
cell_517,CD1C_P14_S86,CD1C,Batch2,3,1,5377
cell_518,CD1C_P14_S87,CD1C,Batch2,3,1,4632
cell_519,CD1C_P14_S88,CD1C,Batch2,3,1,4969
cell_520,CD1C_P14_S89,CD1C,Batch2,3,1,4633
cell_521,CD1C_P14_S90,CD1C,Batch2,3,1,4256
cell_522,CD1C_P14_S91,CD1C,Batch2,3,1,3933
cell_523,CD1C_P14_S92,CD1C,Batch2,3,1,4030
cell_524,CD1C_P14_S93,CD1C,Batch2,3,1,4665
cell_525,CD1C_P14_S94,CD1C,Batch2,3,1,4002
cell_526,CD1C_P14_S95,CD1C,Batch2,3,1,4245
cell_527,CD1C_P14_S96,CD1C,Batch2,3,1,4644
cell_528,CD1C_P3_S10,CD1C,Batch2,3,1,4294
cell_529,CD1C_P3_S11,CD1C,Batch2,3,1,3807
cell_530,CD1C_P3_S12,CD1C,Batch2,3,1,4185
cell_531,CD1C_P3_S13,CD1C,Batch2,3,1,7698
cell_532,CD1C_P3_S14,CD1C,Batch2,3,1,4325
cell_533,CD1C_P3_S15,CD1C,Batch2,3,1,4358
cell_534,CD1C_P3_S16,CD1C,Batch2,3,1,4086
cell_535,CD1C_P3_S17,CD1C,Batch2,3,1,4377
cell_536,CD1C_P3_S18,CD1C,Batch2,3,1,4237
cell_537,CD1C_P3_S19,CD1C,Batch2,3,1,4102
cell_538,CD1C_P3_S1,CD1C,Batch2,3,1,3725
cell_539,CD1C_P3_S20,CD1C,Batch2,3,1,3899
cell_540,CD1C_P3_S21,CD1C,Batch2,3,1,3501
cell_541,CD1C_P3_S22,CD1C,Batch2,3,1,4102
cell_542,CD1C_P3_S23,CD1C,Batch2,3,1,4565
cell_543,CD1C_P3_S24,CD1C,Batch2,3,1,3736
cell_544,CD1C_P3_S2,CD1C,Batch2,3,1,4369
cell_545,CD1C_P3_S3,CD1C,Batch2,3,1,4330
cell_546,CD1C_P3_S4,CD1C,Batch2,3,1,4199
cell_547,CD1C_P3_S5,CD1C,Batch2,3,1,4328
cell_548,CD1C_P3_S6,CD1C,Batch2,3,1,4118
cell_549,CD1C_P3_S7,CD1C,Batch2,3,1,3709
cell_550,CD1C_P3_S8,CD1C,Batch2,3,1,4031
cell_552,CD1C_P4_S25,CD1C,Batch2,3,1,4857
cell_553,CD1C_P4_S26,CD1C,Batch2,3,1,4896
cell_554,CD1C_P4_S27,CD1C,Batch2,3,1,4297
cell_555,CD1C_P4_S28,CD1C,Batch2,3,1,3975
cell_556,CD1C_P4_S29,CD1C,Batch2,3,1,3792
cell_557,CD1C_P4_S30,CD1C,Batch2,3,1,4548
cell_558,CD1C_P4_S31,CD1C,Batch2,3,1,3816
cell_559,CD1C_P4_S32,CD1C,Batch2,3,1,4430
cell_561,CD1C_P4_S34,CD1C,Batch2,3,1,4394
cell_562,CD1C_P4_S35,CD1C,Batch2,3,1,4552
cell_563,CD1C_P4_S36,CD1C,Batch2,3,1,4467
cell_564,CD1C_P4_S37,CD1C,Batch2,3,1,8666
cell_565,CD1C_P4_S38,CD1C,Batch2,3,1,4284
cell_566,CD1C_P4_S39,CD1C,Batch2,3,1,4491
cell_567,CD1C_P4_S40,CD1C,Batch2,3,1,4524
cell_568,CD1C_P4_S41,CD1C,Batch2,3,1,4301
cell_569,CD1C_P4_S42,CD1C,Batch2,3,1,3887
cell_570,CD1C_P4_S43,CD1C,Batch2,3,1,4291
cell_571,CD1C_P4_S44,CD1C,Batch2,3,1,4348
cell_572,CD1C_P4_S45,CD1C,Batch2,3,1,3720
cell_573,CD1C_P4_S46,CD1C,Batch2,3,1,3604
cell_574,CD1C_P4_S47,CD1C,Batch2,3,1,4249
cell_575,CD1C_P4_S48,CD1C,Batch2,3,1,4111
